topology,instance_id,bidder_count,feasible_count,infeasible_count,feasible_fraction,mechanism,horizon_ms,opt_value,winner_id,winner_value,payment,welfare_ratio,revenue_ratio,decision_time_ms,clearing_latency_ms,effective_welfare,compute_time_s,clique_number_w,eps_ms
STARLINK-200,4,1000,967,33,0.967,LIA_lambda2_per_s,69.45258962948427,999.4632714023523,921,996.5522424309041,993.0082610840866,0.9970874077570017,0.993541523232556,69.64173140179312,69.64094948739975,989.6362676968369,0.00019420799799263477,967,0.0
STARLINK-200,5,1000,962,38,0.962,SyncVCG,69.45258962948427,999.0864198379298,484,999.0864198379298,998.8177597543622,1.0,0.9997310942494733,69.55779764827892,69.55288224252051,992.1615958167768,0.0001052080187946558,962,0.0
STARLINK-200,5,1000,962,38,0.962,HoldBack,69.45258962948427,999.0864198379298,484,999.0864198379298,998.8177597543622,1.0,0.9997310942494733,69.50942254186228,69.50450713610387,992.1663954206638,5.6832912378013134e-05,962,0.0
STARLINK-200,5,1000,962,38,0.962,LIA_lambda0.25_per_s,69.45258962948427,999.0864198379298,484,999.0864198379298,998.6604212395448,1.0,0.9995736118618707,69.62278568771762,69.61787028195921,992.1551479740366,0.00017325009685009718,962,0.0
STARLINK-200,5,1000,962,38,0.962,LIA_lambda0.5_per_s,69.45258962948427,999.0864198379298,484,999.0864198379298,998.503107509437,1.0,0.9994161542816411,69.61853559714837,69.61362019138996,992.15556964905,0.00016900000628083944,962,0.0
STARLINK-200,5,1000,962,38,0.962,LIA_lambda1_per_s,69.45258962948427,999.0864198379298,484,999.0864198379298,998.2829242864871,1.0,0.9991957697197275,69.61828553703708,69.61337013127867,992.1555944589035,0.0001687499461695552,962,0.0
STARLINK-200,5,1000,962,38,0.962,LIA_lambda2_per_s,69.45258962948427,999.0864198379298,484,999.0864198379298,997.9317181098793,1.0,0.9988442423947291,69.61974352252764,69.61482811676923,992.155449804068,0.00017020793166011572,962,0.0
STARLINK-200,6,1000,937,63,0.937,SyncVCG,69.45258962948427,999.5821809459078,343,999.5821809459078,998.850001922817,1.0,0.9992675149306904,69.5262975248377,69.52375117541862,992.6568124380927,7.370789535343647e-05,937,0.0
STARLINK-200,6,1000,937,63,0.937,HoldBack,69.45258962948427,999.5821809459078,343,999.5821809459078,998.850001922817,1.0,0.9992675149306904,69.50463065438524,69.50208430496616,992.6589632170787,5.204102490097284e-05,937,0.0
STARLINK-200,6,1000,937,63,0.937,LIA_lambda0.25_per_s,69.45258962948427,999.5821809459078,343,999.5821809459078,997.37833163085,1.0,0.9977952294898131,69.61534395753283,69.61279760811375,992.647973222644,0.00016516703180968761,937,0.0
STARLINK-200,6,1000,937,63,0.937,LIA_lambda0.5_per_s,69.45258962948427,999.5821809459078,343,999.5821809459078,997.6988287781372,1.0,0.9981158606028887,69.62555195144255,69.62300560202347,992.6469599287146,0.00017537502571940422,937,0.0
STARLINK-200,6,1000,937,63,0.937,LIA_lambda1_per_s,69.45258962948427,999.5821809459078,343,999.5821809459078,998.3401320710731,1.0,0.9987574319565607,69.63496890324045,69.63242255382137,992.6460251582973,0.0001847919775173068,937,0.0
STARLINK-200,6,1000,937,63,0.937,LIA_lambda2_per_s,69.45258962948427,999.5821809459078,416,997.0579374389027,997.0162500943629,0.9974747013751122,0.997432996605525,69.63138494114268,69.6288385917236,990.1396523781998,0.0001812080154195428,937,0.0
STARLINK-200,7,1000,953,47,0.953,SyncVCG,69.45258962948427,999.4870727492671,91,999.4870727492671,997.3076172167553,1.0,0.9978194259916571,69.53108964514539,69.52586726765502,992.5621531407485,7.850001566112041e-05,953,0.0
STARLINK-200,7,1000,953,47,0.953,HoldBack,69.45258962948427,999.4870727492671,91,999.4870727492671,997.3076172167553,1.0,0.9978194259916571,69.50321457841054,69.49799220092017,992.5649199182304,5.062494892627001e-05,953,0.0
